title,length_mm,width_mm,image_name,page,image_object,source_width_px,source_height_px,output_width_px,output_height_px,aspect_delta_pct,extraction_method,warnings
S-80003,600,600,p036_001_S-80003_4aa2e067.png,36,Im1123,462,462,600,600,0.0,embedded,
S-80011,600,600,p036_002_S-80011_b235dc5e.png,36,Im1125,462,462,600,600,0.0,embedded,
S-80063,600,600,p036_003_S-80063_ff87ef67.png,36,Im1127,462,462,600,600,0.0,embedded,
S-80034,600,600,p036_004_S-80034_e33d2823.png,36,Im1129,462,462,600,600,0.0,embedded,
S-80013,600,600,p036_005_S-80013_17b638dd.png,36,Im1131,462,462,600,600,0.0,embedded,
S-80074,600,600,p036_006_S-80074_2dc63f63.png,36,Im1133,462,462,600,600,0.0,embedded,
S-80082,600,600,p036_007_S-80082_ad2fc07f.png,36,Im1135,462,462,600,600,0.0,embedded,
S-80087,600,600,p036_008_S-80087_ae3541f9.png,36,Im1137,462,462,600,600,0.0,embedded,
CRV-189,600,600,p036_009_CRV-189_18f79798.png,36,Im1139,462,462,600,600,0.0,embedded,
CRV-128,600,600,p036_010_CRV-128_527e298c.png,36,Im1141,462,462,600,600,0.0,embedded,
CRV-168,600,600,p036_011_CRV-168_1ee3602f.png,36,Im1143,462,462,600,600,0.0,embedded,
CRV-169,600,600,p036_012_CRV-169_41188323.png,36,Im1145,462,462,600,600,0.0,embedded,
CRV-143,600,600,p036_013_CRV-143_0df6ff29.png,36,Im1147,462,462,600,600,0.0,embedded,
CRV-141,600,600,p036_014_CRV-141_ec0036c8.png,36,Im1149,462,462,600,600,0.0,embedded,
CRV-183,600,600,p036_015_CRV-183_265b908c.png,36,Im1151,462,462,600,600,0.0,embedded,
LY CARRARA,600,600,p037_001_LY_CARRARA_4d18a7bc.png,37,Im1159,461,461,600,600,0.0,embedded,
LY IMPERIAL PINE,600,600,p037_002_LY_IMPERIAL_PINE_7c41c3d6.png,37,Im1161,461,461,600,600,0.0,embedded,
LY GERMAN WOOD,600,600,p037_003_LY_GERMAN_WOOD_6e97a7d1.png,37,Im1163,461,461,600,600,0.0,embedded,
LP LINER WOOD,600,600,p037_004_LP_LINER_WOOD_83274ebe.png,37,Im1166,461,461,600,600,0.0,embedded,
LY IMPERIAL PINE,600,600,p037_005_LY_IMPERIAL_PINE_b9de7362.png,37,Im1168,461,461,600,600,0.0,embedded,
LY STABLETON GRIS,600,600,p037_006_LY_STABLETON_GRIS_7cfd0231.png,37,Im1169,461,461,600,600,0.0,embedded,
DECOR-23,600,600,p038_001_DECOR-23_bbed7b21.png,38,Im1189,461,461,600,600,0.0,embedded,
DECOR-26,600,600,p038_002_DECOR-26_68076bb7.png,38,Im1191,461,461,600,600,0.0,embedded,
LINEAR CHOCO,600,600,p038_003_LINEAR_CHOCO_370704b7.png,38,Im1193,461,461,600,600,0.0,embedded,
LINEAR GREY DECOR,600,600,p038_004_LINEAR_GREY_DECOR_3789c9a3.png,38,Im1195,461,461,600,600,0.0,embedded,
LINEAR GREY,600,600,p038_005_LINEAR_GREY_6ea05fc4.png,38,Im1197,461,461,600,600,0.0,embedded,
LINEAR GREY DECOR,600,600,p038_006_LINEAR_GREY_DECOR_9572efc5.png,38,Im1199,461,461,600,600,0.0,embedded,
METEX,600,600,p038_007_METEX_13f5f4ce.png,38,Im1202,461,461,600,600,0.0,embedded,
ROGGER CROWN,600,600,p038_008_ROGGER_CROWN_19f8e907.png,38,Im1204,461,461,600,600,0.0,embedded,
3331-L,300,600,p039_001_3331-L_b992e772.png,39,Im1218,456,228,600,300,0.0,embedded-indexed,
3331-HL-1-P1,300,600,p039_002_3331-HL-1-P1_c423e1de.png,39,Im1220,456,228,600,300,0.0,embedded,
3331-F,300,300,p039_003_3331-F_4cde389c.png,39,Im1222,229,228,302,300,0.439,embedded,derived square companion size from catalogue section and image aspect
3331-D,300,600,p039_004_3331-D_e924d422.png,39,Im1224,456,228,600,300,0.0,embedded,
3331-HL-1-P2,300,600,p039_005_3331-HL-1-P2_177c1a4d.png,39,Im1226,456,228,600,300,0.0,embedded,
3101-L,300,600,p039_006_3101-L_84930d3a.png,39,Im1228,456,227,603,300,0.213,embedded,
3101-HL-1,300,600,p039_007_3101-HL-1_eb4c7641.png,39,Im1230,456,227,603,300,0.212,embedded,
3101-F,300,300,p039_008_3101-F_c0f95ae4.png,39,Im1232,229,227,303,300,0.652,embedded,derived square companion size from catalogue section and image aspect
3101-D,300,600,p039_009_3101-D_80eb3177.png,39,Im1234,456,227,603,300,0.213,embedded,
3008-L,300,600,p039_010_3008-L_ab0c09d5.png,39,Im1236,456,228,600,300,0.0,embedded,
3008-HL-1,300,600,p039_011_3008-HL-1_81864aae.png,39,Im1238,456,228,600,300,0.0,embedded,
3008-D,300,600,p039_012_3008-D_14167f63.png,39,Im1240,456,228,600,300,0.0,embedded,
3008-F,300,300,p039_013_3008-F_797ef332.png,39,Im1242,229,228,302,300,0.439,embedded,derived square companion size from catalogue section and image aspect
3413-L,300,600,p039_014_3413-L_c796049e.png,39,Im1244,456,228,600,300,0.0,embedded,
3413-HL-1-P1,300,600,p039_015_3413-HL-1-P1_e0bc86dd.png,39,Im1246,456,228,600,300,0.0,embedded,
3413 -F,300,300,p039_016_3413_-F_800d9009.png,39,Im1248,228,228,300,300,0.0,embedded,derived square companion size from catalogue section and image aspect
3413-D,300,600,p039_017_3413-D_8c9fd03d.png,39,Im1250,456,228,600,300,0.0,embedded,
3413-HL-1-P2,300,600,p039_018_3413-HL-1-P2_aacea929.png,39,Im1252,456,228,600,300,0.0,embedded,
3416-HL-1-P1-P2-P3,300,600,p040_001_3416-HL-1-P1-P2-P3_b6aebdf5.png,40,Im1259,456,228,600,300,0.247,embedded,
3416-F,300,300,p040_002_3416-F_cc31ce50.png,40,Im1260,229,228,302,300,0.41,embedded,derived square companion size from catalogue section and image aspect
3416-L,300,600,p040_003_3416-L_b6499cd8.png,40,Im1263,456,228,600,300,0.247,embedded,
3416-D,300,600,p040_004_3416-D_fe4ac198.png,40,Im1264,456,228,600,300,0.191,embedded,
T-2110-L (MATT),300,600,p040_005_T-2110-L_MATT_330cde06.png,40,Im1265,456,228,600,300,0.0,embedded,
T-2110-F (MATT),300,300,p040_006_T-2110-F_MATT_2ffb888d.png,40,Im1267,229,228,302,300,0.439,embedded,derived square companion size from catalogue section and image aspect
T-2110-HL-1 (MATT),300,600,p040_007_T-2110-HL-1_MATT_cd58bb0b.png,40,Im1269,456,228,600,300,0.0,embedded,
3258-L,300,600,p040_008_3258-L_3d842fc5.png,40,Im1271,456,229,600,302,0.604,embedded,
3258-HL-1,300,600,p040_009_3258-HL-1_e036b95b.png,40,Im1273,456,229,600,302,0.604,embedded,
3258-F,300,300,p040_010_3258-F_31a9398e.png,40,Im1275,229,228,302,300,0.287,embedded,derived square companion size from catalogue section and image aspect
3335-F,300,300,p040_011_3335-F_b0165744.png,40,Im1277,229,228,302,300,0.438,embedded,derived square companion size from catalogue section and image aspect
3335-L,300,600,p040_012_3335-L_ef509491.png,40,Im1279,456,228,600,300,0.0,embedded,
3335-HL-1,300,600,p040_013_3335-HL-1_a070fda2.png,40,Im1281,456,228,600,300,0.0,embedded,
3471-L,300,600,p040_014_3471-L_b1e468f2.png,40,Im1284,456,228,600,300,0.0,embedded-indexed,
3471-HL-1-P1,300,600,p040_015_3471-HL-1-P1_91d28f09.png,40,Im1286,456,228,600,300,0.0,embedded,
3471-F,300,600,p040_016_3471-F_08a44fd7.png,40,Im1288,456,228,600,300,0.0,embedded,
3471-HL-1-P2,300,600,p040_017_3471-HL-1-P2_60f3c355.png,40,Im1290,456,228,600,300,0.0,embedded,
3471-F,300,300,p040_018_3471-F_65044633.png,40,Im1292,229,228,302,300,0.438,embedded,derived square companion size from catalogue section and image aspect
3332-L,300,600,p040_019_3332-L_68a6e019.png,40,Im1295,456,228,600,300,0.0,embedded-indexed,
3332-HL-1,300,600,p040_020_3332-HL-1_54090a8c.png,40,Im1297,456,228,600,300,0.0,embedded,
3332-D,300,600,p040_021_3332-D_f4e2486c.png,40,Im1299,456,228,600,300,0.0,embedded,
3332-D,300,300,p040_022_3332-D_8449129e.png,40,Im1301,230,228,303,300,0.878,embedded,derived square companion size from catalogue section and image aspect
5176-L,300,600,p041_001_5176-L_b5908309.png,41,Im1309,456,228,600,300,0.0,embedded,
5176-HL-1,300,600,p041_002_5176-HL-1_0a5cc616.png,41,Im1311,456,228,600,300,0.0,embedded,
5176-F,300,300,p041_003_5176-F_a0298e4d.png,41,Im1313,229,228,302,300,0.439,embedded,derived square companion size from catalogue section and image aspect
5026-L,300,600,p041_004_5026-L_e4f85812.png,41,Im1315,456,228,600,300,0.0,embedded,
5026-L-HL,300,600,p041_005_5026-L-HL_34428155.png,41,Im1317,456,228,600,300,0.0,embedded,
5026-F,300,300,p041_006_5026-F_fbcbbfe8.png,41,Im1319,229,228,302,300,0.439,embedded,derived square companion size from catalogue section and image aspect
5232-D,300,600,p041_007_5232-D_438f54bd.png,41,Im1322,456,228,600,300,0.0,embedded,
5232-HL-1,300,600,p041_008_5232-HL-1_63dc2998.png,41,Im1324,456,228,600,300,0.0,embedded,
5232-F,300,300,p041_009_5232-F_c42b29b8.png,41,Im1326,229,228,302,300,0.438,embedded,derived square companion size from catalogue section and image aspect
3101-L,300,600,p042_001_3101-L_d0ecf8f4.png,42,Im1334,456,228,600,300,0.0,embedded,
3101-D,300,600,p042_002_3101-D_5b68d91d.png,42,Im1336,456,228,600,300,0.0,embedded,
3101-HL-2,300,600,p042_003_3101-HL-2_051bb36c.png,42,Im1338,456,228,600,300,0.0,embedded,
3103-HL-3,300,600,p042_004_3103-HL-3_4b676af6.png,42,Im1340,456,228,600,300,0.0,embedded,
3041-L,300,600,p042_005_3041-L_cecc3751.png,42,Im1343,456,228,600,300,0.0,embedded,
3041-D,300,600,p042_006_3041-D_9a4fe93d.png,42,Im1345,456,228,600,300,0.0,embedded,
3041-HL-1,300,600,p042_007_3041-HL-1_af13a9bb.png,42,Im1347,456,228,600,300,0.0,embedded,
3041-HL-2,300,600,p042_008_3041-HL-2_81af5dc7.png,42,Im1349,456,228,600,300,0.0,embedded,
3241-L,300,600,p042_009_3241-L_c00e5aeb.png,42,Im1351,456,227,603,300,0.255,embedded,
3241-D,300,600,p042_010_3241-D_d634f809.png,42,Im1353,456,227,603,300,0.256,embedded,
3241-HL-1,300,600,p042_011_3241-HL-1_0faa8e14.png,42,Im1355,456,227,603,300,0.256,embedded,
3241-HL-2,300,600,p042_012_3241-HL-2_41a78cad.png,42,Im1357,456,227,603,300,0.255,embedded,
CHENNAI-301,300,600,p043_001_CHENNAI-301_0255fccc.png,43,Im1365,456,228,600,300,0.212,embedded,
ERODE-506,300,600,p043_002_ERODE-506_011725d1.png,43,Im1367,456,228,600,300,0.212,embedded,
LUDHIANA-505,300,600,p043_003_LUDHIANA-505_52642533.png,43,Im1369,456,228,600,300,0.212,embedded,
DISPUR-502,300,600,p043_004_DISPUR-502_a9453b4d.png,43,Im1371,456,228,600,300,0.212,embedded,
LATUR-505,300,600,p043_005_LATUR-505_bc57a7a0.png,43,Im1373,456,228,600,300,0.212,embedded,
MADURAI-501,300,600,p043_006_MADURAI-501_16dbfeb8.png,43,Im1375,456,228,600,300,0.212,embedded,
DIUSPUR-505,300,600,p043_007_DIUSPUR-505_c1d84e7e.png,43,Im1377,456,228,600,300,0.212,embedded,
LUDHIANA-06,300,600,p043_008_LUDHIANA-06_f53d82bd.png,43,Im1379,456,229,600,302,0.633,embedded,
MANALI-301,300,600,p043_009_MANALI-301_a1c42be5.png,43,Im1381,456,228,600,300,0.212,embedded,
MANALI-501,300,600,p043_010_MANALI-501_d7306699.png,43,Im1385,456,228,600,300,0.212,embedded,
MATHURA-508,300,600,p043_011_MATHURA-508_a886772a.png,43,Im1387,456,228,600,300,0.212,embedded,
MUMBAI-504,300,600,p043_012_MUMBAI-504_eb0ee23e.png,43,Im1389,456,228,600,300,0.212,embedded,
MANALI-503,300,600,p043_013_MANALI-503_b711f132.png,43,Im1391,456,228,600,300,0.212,embedded,
MUMBAI-06,300,600,p043_014_MUMBAI-06_2e081045.png,43,Im1393,456,228,600,300,0.212,embedded,
MYSORE-502,300,600,p043_015_MYSORE-502_8bed73aa.png,43,Im1395,456,229,600,302,0.633,embedded,
MATHURA-506,300,600,p043_016_MATHURA-506_40ce170e.png,43,Im1397,456,228,600,300,0.212,embedded,
MUMBAI-503,300,600,p043_017_MUMBAI-503_4586fe96.png,43,Im1399,456,228,600,300,0.212,embedded,
PUNE-305,300,600,p043_018_PUNE-305_39041803.png,43,Im1401,456,228,600,300,0.212,embedded,
RAIPUR-07,300,600,p043_019_RAIPUR-07_a9b4ee4c.png,43,Im1403,456,228,600,300,0.212,embedded,
SPINEL-502,300,600,p043_020_SPINEL-502_1c45eddb.png,43,Im1405,456,228,600,300,0.212,embedded,
TIGRIS-14,300,600,p043_021_TIGRIS-14_a1fee1b1.png,43,Im1407,456,228,600,300,0.212,embedded,
CAPITAN SILVER (MATT),300,600,p044_001_CAPITAN_SILVER_MATT_79d68d6c.png,44,Im1414,456,228,600,300,0.0,embedded,
CAPITAN SILVER TREE-A (MATT),300,600,p044_002_CAPITAN_SILVER_TREE-A_MATT_05a7e68b.png,44,Im1416,456,228,600,300,0.0,embedded,
CAPITAN GREY-F (MATT),300,300,p044_003_CAPITAN_GREY-F_MATT_4c098820.png,44,Im1418,230,228,303,300,0.877,embedded,derived square companion size from catalogue section and image aspect
CAPITAN GREY (MATT),300,600,p044_004_CAPITAN_GREY_MATT_724d3258.png,44,Im1420,456,228,600,300,0.0,embedded,
CAPITAN SILVER TREE-B (MATT),300,600,p044_005_CAPITAN_SILVER_TREE-B_MATT_a870c95c.png,44,Im1422,456,228,600,300,0.0,embedded,
JEREBKO-L,300,600,p044_006_JEREBKO-L_d5932d36.png,44,Im1424,456,228,600,300,0.0,embedded,
JEREBKO-HL,300,600,p044_007_JEREBKO-HL_b8e6b4e1.png,44,Im1426,456,228,600,300,0.0,embedded,
JEREBKO-F,300,300,p044_008_JEREBKO-F_d9415806.png,44,Im1428,229,228,302,300,0.438,embedded,derived square companion size from catalogue section and image aspect
JEREBKO-D,300,600,p044_009_JEREBKO-D_5948e738.png,44,Im1430,456,228,600,300,0.0,embedded,
MARQUINA WHITE,300,600,p044_010_MARQUINA_WHITE_4bb2c04f.png,44,Im1432,456,228,600,300,0.0,embedded,
MARQUINA WHITE-HL,300,600,p044_011_MARQUINA_WHITE-HL_c318f510.png,44,Im1434,456,228,600,300,0.0,embedded,
MARQUINA BLACK-F,300,300,p044_012_MARQUINA_BLACK-F_8348e02f.png,44,Im1436,230,228,303,300,0.877,embedded,derived square companion size from catalogue section and image aspect
MARQUINA BLACK,300,600,p044_013_MARQUINA_BLACK_d7ef1d17.png,44,Im1438,456,228,600,300,0.0,embedded,
MARQUINA BLACK-HL,300,600,p044_014_MARQUINA_BLACK-HL_ec6f5e70.png,44,Im1440,457,230,600,302,0.749,embedded,
MARQUINA WHITE-F,300,300,p044_015_MARQUINA_WHITE-F_1d42851f.png,44,Im1441,230,228,303,300,0.877,embedded,derived square companion size from catalogue section and image aspect
ANGOLA WHITE,300,600,p044_016_ANGOLA_WHITE_11b65734.png,44,Im1449,456,228,600,300,0.0,embedded,
ANGOLA FLY DECOR-1,300,600,p044_017_ANGOLA_FLY_DECOR-1_918b553e.png,44,Im1451,456,228,600,300,0.0,embedded,
ANGOLABLACK-F,300,300,p044_018_ANGOLABLACK-F_9e2ef096.png,44,Im1453,230,228,303,300,0.877,embedded,derived square companion size from catalogue section and image aspect
ANGOLA BLACK,300,600,p044_019_ANGOLA_BLACK_8201bf46.png,44,Im1455,456,228,600,300,0.0,embedded,
ANGOLA FLY DECOR-2,300,600,p044_020_ANGOLA_FLY_DECOR-2_e33aaaf9.png,44,Im1457,456,228,600,300,0.0,embedded,
ANGOLA GRASS DECOR,300,600,p044_021_ANGOLA_GRASS_DECOR_976d2da5.png,44,Im1459,456,228,600,300,0.0,embedded,
NYRA PULPIS (MATT),300,600,p045_001_NYRA_PULPIS_MATT_2390d0ed.png,45,Im1468,457,228,602,300,0.0,embedded-indexed,
NYRA PULPIS-HL-5 (MATT),300,600,p045_002_NYRA_PULPIS-HL-5_MATT_8e9122ef.png,45,Im1469,457,228,602,300,0.0,embedded,
NYRA PULPIS-F (MATT),300,300,p045_003_NYRA_PULPIS-F_MATT_056e103d.png,45,Im1471,229,228,302,300,0.219,embedded-indexed,derived square companion size from catalogue section and image aspect
NYRA PULPIS-HL-6 (MATT),300,600,p045_004_NYRA_PULPIS-HL-6_MATT_526ab07c.png,45,Im1472,457,228,602,300,0.0,embedded,
NYRA ARCTIC (MATT),300,600,p045_005_NYRA_ARCTIC_MATT_aec44184.png,45,Im1474,457,228,602,300,0.0,embedded-indexed,
NYRA ARCTIC-HL-3 (MATT),300,600,p045_006_NYRA_ARCTIC-HL-3_MATT_8213400e.png,45,Im1475,457,228,602,300,0.0,embedded,
NYRA ARCTIC-F (MATT),300,300,p045_007_NYRA_ARCTIC-F_MATT_8cb8f48c.png,45,Im1477,229,228,302,300,0.219,embedded-indexed,derived square companion size from catalogue section and image aspect
NYRA ARCTIC-HL-4 (MATT),300,600,p045_008_NYRA_ARCTIC-HL-4_MATT_55e232f0.png,45,Im1478,457,228,602,300,0.0,embedded,
PIPPEN-L,300,600,p045_009_PIPPEN-L_6a41f11b.png,45,Im1479,456,228,600,300,0.0,embedded,
PIPPEN-HL-2,300,600,p045_010_PIPPEN-HL-2_b6ee83d0.png,45,Im1481,456,228,600,300,0.0,embedded,
PIPPEN-F,300,300,p045_011_PIPPEN-F_79251634.png,45,Im1483,229,228,302,300,0.438,embedded,derived square companion size from catalogue section and image aspect
PIPPEN-D,300,600,p045_012_PIPPEN-D_5f96e9bf.png,45,Im1485,456,228,600,300,0.0,embedded,
POLO WOOD-L,300,600,p045_013_POLO_WOOD-L_deeac2a4.png,45,Im1487,456,228,600,300,0.0,embedded,
POLO WOOD DECOR,300,600,p045_014_POLO_WOOD_DECOR_585113ca.png,45,Im1489,456,228,600,300,0.0,embedded,
POLO WOOD-F,300,300,p045_015_POLO_WOOD-F_69e08572.png,45,Im1491,229,228,302,300,0.438,embedded,derived square companion size from catalogue section and image aspect
POLO WOOD-D,300,600,p045_016_POLO_WOOD-D_eac7ade8.png,45,Im1493,456,228,600,300,0.0,embedded,
ROLEX GREY,300,600,p046_001_ROLEX_GREY_ee1f00e4.png,46,Im1506,456,228,600,300,0.0,embedded,
ROLEX GREY-HL-1,300,600,p046_002_ROLEX_GREY-HL-1_e10797bb.png,46,Im1508,456,228,600,300,0.0,embedded,
ROLEX GREY-F,300,300,p046_003_ROLEX_GREY-F_7a12dee3.png,46,Im1510,230,228,303,300,0.877,embedded,derived square companion size from catalogue section and image aspect
ROLEX BEIGE-F,300,300,p046_004_ROLEX_BEIGE-F_198c7287.png,46,Im1512,230,228,303,300,0.877,embedded,derived square companion size from catalogue section and image aspect
ROLEX BEIGE,300,600,p046_005_ROLEX_BEIGE_bae16657.png,46,Im1514,456,228,600,300,0.0,embedded,
ROLEX BEIGE-HL-1,300,600,p046_006_ROLEX_BEIGE-HL-1_54ad6311.png,46,Im1516,456,228,600,300,0.0,embedded,
SONATA WHITE-HL,300,600,p046_007_SONATA_WHITE-HL_5aa7d26a.png,46,Im1518,457,228,602,300,0.0,embedded,
SONATA BLACK-HL,300,600,p046_008_SONATA_BLACK-HL_1da08de7.png,46,Im1519,457,228,602,300,0.0,embedded,
SONATA BLACK-HL-F,300,300,p046_009_SONATA_BLACK-HL-F_26f71c22.png,46,Im1520,229,228,302,300,0.219,embedded,derived square companion size from catalogue section and image aspect
TERRIFIC SILVER,300,600,p046_010_TERRIFIC_SILVER_ce8f9d64.png,46,Im1521,457,228,602,300,0.0,embedded,
TERRIFIC SILVER-HL,300,600,p046_011_TERRIFIC_SILVER-HL_847a40b6.png,46,Im1522,457,228,602,300,0.0,embedded,
TERRIFIC GREY-F,300,300,p046_012_TERRIFIC_GREY-F_e5477823.png,46,Im1523,229,228,302,300,0.219,embedded,derived square companion size from catalogue section and image aspect
TERRIFIC GREY,300,600,p046_013_TERRIFIC_GREY_4d09eef6.png,46,Im1524,457,228,602,300,0.0,embedded,
MIDAS BATH,300,600,p046_014_MIDAS_BATH_9549f73c.png,46,Im1525,456,228,600,300,0.0,embedded,
MIDAS BLACK-F,300,300,p046_015_MIDAS_BLACK-F_30f06c05.png,46,Im1528,230,228,303,300,0.877,embedded-indexed,derived square companion size from catalogue section and image aspect
MIDAS BLACK,300,600,p046_016_MIDAS_BLACK_c40d3b42.png,46,Im1531,456,228,600,300,0.0,embedded-indexed,
MORTAL SUPER WHITE,300,600,p047_001_MORTAL_SUPER_WHITE_33944716.png,47,Im1544,456,228,600,300,0.0,embedded,
MORTAL BLACK-HL,300,600,p047_002_MORTAL_BLACK-HL_ea676e4a.png,47,Im1546,456,228,600,300,0.0,embedded,
MORTAL SUPER WHITE-F,300,300,p047_003_MORTAL_SUPER_WHITE-F_3f2d59f1.png,47,Im1548,229,228,302,300,0.439,embedded,derived square companion size from catalogue section and image aspect
MORTAL SUPER WHITE-HL,300,600,p047_004_MORTAL_SUPER_WHITE-HL_9af93f69.png,47,Im1550,456,228,600,300,0.0,embedded,
CHROMATIC GREY-L,300,600,p047_005_CHROMATIC_GREY-L_33528c36.png,47,Im1552,457,228,602,300,0.0,embedded,
CHROMATIC GREY,300,600,p047_006_CHROMATIC_GREY_3f479139.png,47,Im1553,457,228,602,300,0.0,embedded,
CHROMATIC GREY BRICK-L,300,600,p047_007_CHROMATIC_GREY_BRICK-L_ee7c48fd.png,47,Im1555,457,228,602,300,0.0,embedded-indexed,
CHROMATIC GREY BRICK,300,600,p047_008_CHROMATIC_GREY_BRICK_2af40e49.png,47,Im1557,457,228,602,300,0.0,embedded-indexed,
CHROMATIC BLUE BRICK-L,300,600,p047_009_CHROMATIC_BLUE_BRICK-L_12ac581f.png,47,Im1558,457,228,602,300,0.0,embedded,
CHROMATIC BLUE BRICK,300,600,p047_010_CHROMATIC_BLUE_BRICK_ddc2a24e.png,47,Im1559,457,228,602,300,0.0,embedded,
P-1108 SUPER WHITE,300,600,p047_011_P-1108_SUPER_WHITE_51c26659.png,47,Im1560,456,228,600,300,0.0,embedded,
ITALIANO WHITE,300,600,p047_012_ITALIANO_WHITE_dbc84319.png,47,Im1561,456,228,600,300,0.0,embedded,
ITALIANO WHITE DECORE,300,600,p047_013_ITALIANO_WHITE_DECORE_5085c2fd.png,47,Im1562,456,228,600,300,0.0,embedded,
SUPER WHITE-F,300,300,p047_014_SUPER_WHITE-F_ae25ce2a.png,47,Im1563,229,228,302,300,0.439,embedded,derived square companion size from catalogue section and image aspect
P-1108 SUPER WHITE-F,300,300,p047_015_P-1108_SUPER_WHITE-F_2889c274.png,47,Im1564,229,228,302,300,0.439,embedded,derived square companion size from catalogue section and image aspect
P-1108 SUPER WHITE-HL,300,600,p047_016_P-1108_SUPER_WHITE-HL_66368fef.png,47,Im1565,456,228,600,300,0.0,embedded,
MONJA SILVER,300,600,p048_001_MONJA_SILVER_2d7c47f3.png,48,Im1576,456,228,600,300,0.0,embedded,
MONJA SILVER-KC-A,300,600,p048_002_MONJA_SILVER-KC-A_0b78be3c.png,48,Im1578,456,228,600,300,0.0,embedded,
MONJA SILVER-KC-B,300,600,p048_003_MONJA_SILVER-KC-B_c2f93cfc.png,48,Im1580,456,228,600,300,0.0,embedded,
MONJA GREY,300,600,p048_004_MONJA_GREY_6cb6ae43.png,48,Im1582,456,228,600,300,0.0,embedded,
ZUBER GREY,300,600,p048_005_ZUBER_GREY_d227b19e.png,48,Im1584,456,228,600,300,0.0,embedded,
ZUBER GREY-KC-REN-1,300,600,p048_006_ZUBER_GREY-KC-REN-1_f84d92ec.png,48,Im1586,456,228,600,300,0.0,embedded,
ZUBER GREY-KC-REN-2,300,600,p048_007_ZUBER_GREY-KC-REN-2_88929d62.png,48,Im1588,456,228,600,300,0.0,embedded,
POLO WOOD-L,300,600,p048_008_POLO_WOOD-L_1dad26bd.png,48,Im1590,456,228,600,300,0.0,embedded,
POLO WOOD-KC-REN-1,300,600,p048_009_POLO_WOOD-KC-REN-1_a684d8e1.png,48,Im1592,456,228,600,300,0.0,embedded,
POLO WOOD-KC-REN-2,300,600,p048_010_POLO_WOOD-KC-REN-2_8bb6740a.png,48,Im1594,456,228,600,300,0.0,embedded,
POLO WOOD-D,300,600,p048_011_POLO_WOOD-D_12dd220a.png,48,Im1596,456,228,600,300,0.0,embedded,
SALIENT WOOD,300,600,p048_012_SALIENT_WOOD_94dbd158.png,48,Im1598,457,228,602,300,0.0,embedded,
SALIENT WOOD-KC-REN-1,300,600,p048_013_SALIENT_WOOD-KC-REN-1_be801256.png,48,Im1599,457,228,602,300,0.0,embedded,
SALIENT WOOD-KC-REN-2,300,600,p048_014_SALIENT_WOOD-KC-REN-2_4a0ec6f3.png,48,Im1600,457,228,602,300,0.0,embedded,
ITACA-208-KC-1,300,600,p048_015_ITACA-208-KC-1_5d9cb990.png,48,Im1601,456,228,600,300,0.0,embedded,
ITACA-208-KC-2,300,600,p048_016_ITACA-208-KC-2_f0cf0f5f.png,48,Im1603,456,228,600,300,0.0,embedded,
MONJA SILVER,300,600,p048_017_MONJA_SILVER_48ccc14c.png,48,Im1605,456,228,600,300,0.0,embedded,
MONJA SILVER-KC-A,300,600,p048_018_MONJA_SILVER-KC-A_431d63ff.png,48,Im1607,456,228,600,300,0.0,embedded,
MONJA SILVER-KC-B,300,600,p048_019_MONJA_SILVER-KC-B_6b3c92f1.png,48,Im1609,456,228,600,300,0.0,embedded,
MONJA GREY,300,600,p048_020_MONJA_GREY_06f224ea.png,48,Im1611,456,228,600,300,0.0,embedded,
153-L,300,450,p049_001_153-L_35775c23.png,49,Im1623,342,228,451,300,0.064,embedded,
153-HL,300,450,p049_002_153-HL_76aace3b.png,49,Im1625,342,228,451,300,0.064,embedded,
153-F,300,300,p049_003_153-F_eebe3b88.png,49,Im1627,230,228,303,300,0.813,embedded,derived square companion size from catalogue section and image aspect
153-D,300,450,p049_004_153-D_b820c5be.png,49,Im1629,342,228,451,300,0.064,embedded,
182-L,300,450,p049_005_182-L_1e57d129.png,49,Im1631,342,228,451,300,0.064,embedded,
182-HL,300,450,p049_006_182-HL_0a3339dc.png,49,Im1633,342,228,451,300,0.064,embedded,
182-F,300,300,p049_007_182-F_ca3a8914.png,49,Im1635,229,228,302,300,0.374,embedded,derived square companion size from catalogue section and image aspect
182-D,300,450,p049_008_182-D_e5e03452.png,49,Im1637,342,228,451,300,0.064,embedded,
130-CREMA-L,300,450,p049_009_130-CREMA-L_0971f7b5.png,49,Im1639,342,228,451,300,0.021,embedded,
130-CREMA-HL,300,450,p049_010_130-CREMA-HL_27fb01bf.png,49,Im1640,342,228,451,300,0.021,embedded,
130-BROWN-D,300,450,p049_011_130-BROWN-D_a4642f6d.png,49,Im1641,342,228,451,300,0.021,embedded,
130-BROWN-F,300,300,p049_012_130-BROWN-F_065e5233.png,49,Im1642,229,228,302,300,0.417,embedded,derived square companion size from catalogue section and image aspect
358-L,300,450,p049_013_358-L_1266e5da.png,49,Im1643,342,228,451,300,0.021,embedded,
358-HL,300,450,p049_014_358-HL_4532630b.png,49,Im1644,342,228,451,300,0.021,embedded,
358-F,300,300,p049_015_358-F_4b5c446e.png,49,Im1645,230,228,303,300,0.856,embedded,derived square companion size from catalogue section and image aspect
358-D,300,450,p049_016_358-D_04d73a59.png,49,Im1646,342,228,451,300,0.021,embedded,
359-F,300,300,p049_017_359-F_b18c2b4b.png,49,Im1647,229,228,302,300,0.374,embedded,derived square companion size from catalogue section and image aspect
